AVAL,AVAR,AIBR,AIBL,RIMR,RIML,VA12
0.18231082627661,0.139186693761768,0.454696897205868,0.502884372597767,0.387264692637477,0.562694162734774,0.376965887109046
0.169752189112497,0.145915468992658,0.480605429595989,0.522268247242476,0.40815747490198,0.568451991680447,0.423512999685395
0.144405529531636,0.140900210807341,0.46059461314345,0.502807027897211,0.382204132958212,0.556574673266765,0.404308759475396
0.145528336227083,0.174281419550212,0.423570128481556,0.516784458065427,0.350521403941511,0.578640744303699,0.378149717912387
0.135901000257208,0.126727372510505,0.416423133120962,0.482145213096556,0.367792474257362,0.55155080894021,0.392461022737677
0.134949473331581,0.14888185739818,0.42287427844284,0.505160182192698,0.372754442568429,0.537248579401665,0.414756914305364
0.134190328613462,0.129619171047477,0.384682033943675,0.425697029682312,0.357539131246151,0.529712360339047,0.365261766650026
0.129783805799847,0.166331830392401,0.394309028869367,0.419922898217462,0.342640096851804,0.502520663129271,0.386093900294108
0.125305664012624,0.124983389999666,0.355599261702031,0.415858160267559,0.33015465592737,0.526794217481902,0.353907244286571
0.122951543526383,0.120590271362142,0.335325073842918,0.408892166117217,0.314094179042423,0.505832224302319,0.346766392046591
0.12773538426933,0.14002679477712,0.302652341944572,0.412425995702651,0.302166110050354,0.531023445869715,0.350726933438188
0.141513019786143,0.137243257317268,0.378233227155858,0.413504687116873,0.374620675811878,0.580604250042277,0.349707696629631
0.112860735412144,0.112857400628569,0.262800388859094,0.324962321967744,0.30124562805933,0.437943857595647,0.271553842738759
0.114138008295445,0.127733183558357,0.313206287884241,0.320991307680742,0.342611159062423,0.474274585885652,0.330714499422775
0.101444009263108,0.13582035798486,0.249341427098436,0.325133292026914,0.269497940498164,0.459239426513836,0.371424597944866
0.106283603937159,0.103313517545164,0.249053711032461,0.295156861862238,0.301706819858435,0.42513131002552,0.293418184155462
0.114040899303517,0.132630468936276,0.291097483169044,0.314989098134509,0.316994574817468,0.468609426877218,0.295741439809808
0.110053625704545,0.140782688694013,0.254657412673503,0.314627203634728,0.288220529395025,0.478188039982132,0.391414395318119
0.103088788358178,0.125941849093153,0.260021420823574,0.288544460230826,0.262233394610697,0.44563094952024,0.288487672154698
0.119986452514839,0.108094487506781,0.230553359019204,0.288425555545283,0.275325301811215,0.449132354596982,0.304114138291682
0.0922080744049328,0.12651825773138,0.225037207949964,0.289376491578696,0.269100632841506,0.426794774818499,0.311985042871716
0.0869635777812433,0.112558525036964,0.201368020734344,0.254424121462512,0.247238117210259,0.425215267730664,0.288444050642446
