URYVL,AVAL,AVAR,VA01,DA01,VA02,DA02,VA03,DD02,DA03,VA04,AS04,VA05,DA04,AS05,VA06,DA07,VA08,VA07
0.379345348086929,1.59820133790446,1.1796625138268,0.535231795914698,0.918249041516388,1.15926819081612,1.29182190055931,0.619336620569031,0.333172257372081,0.964263365276852,0.796898974899781,0.596940367536244,0.821213530680368,0.356829854514452,0.306767501897938,0.954615598222832,0.639731616055473,1.3848307381384,1.39638837710363
0.398424916336461,1.56556115391265,1.16469588250568,0.524305890472473,0.94169520236375,1.1411077366152,1.22833301181691,0.600122467499897,0.291093524912129,0.929818816291508,0.765383106006333,0.58252743953845,0.804262287724582,0.336542018305433,0.323139996801526,0.95437849209044,0.609854832634616,1.37749931188731,1.34511006963072
0.387413698785079,1.46327978255101,1.11541313081878,0.480582652611027,0.949218551712873,1.07963013227888,1.20411497989633,0.606436330245767,0.306060751156232,0.888992686661361,0.75640542243041,0.559672044845054,0.763322959541099,0.326348211117281,0.32203897743279,0.979401866516874,0.599397488848851,1.36855198525106,1.31960418582586
0.386567166304082,1.43705380705213,1.10335981822945,0.471903564084882,0.963693352748117,1.04448021204683,1.18357061444292,0.609816179916079,0.279104372604256,0.882608232232553,0.750938998173584,0.506029843517522,0.716850335593655,0.320180219349579,0.324146457135464,0.915913194136025,0.586547591835299,1.32315718572648,1.29399285377321
0.383642444722753,1.40866641414484,1.05277235334601,0.469484332039573,0.939180465209729,1.0312064786542,1.185037870059,0.582695221697078,0.284960088280957,0.853597774006393,0.741222314548044,0.53491607895519,0.685186352183198,0.287925198508981,0.323815691928723,0.897478533799182,0.607171819375208,1.32507102279328,1.26616055603005
0.350056657366435,1.37223667471251,1.03141843340393,0.496893691670378,0.921266898375861,1.0626335947107,1.14756296443315,0.582884634708209,0.289551442770198,0.826039658355068,0.744554922228455,0.505878697593883,0.711030451467761,0.295918152235172,0.303502343971669,0.903203264436736,0.534485590553034,1.30539583325232,1.26381736024237
0.372046134730437,1.35467877911309,1.00703898376182,0.478117735718602,0.908071453277492,0.997861977923861,1.14016625723901,0.554341822404689,0.282675845218249,0.828580901933816,0.718573568786145,0.531376975448148,0.713027396949942,0.307790032847868,0.299965376674121,0.879155870525805,0.555815766084917,1.30318086535835,1.26727030932298
0.327083261891317,1.36613262417558,1.01044219706154,0.481244437628009,0.923637016705149,1.00147880221941,1.12864104538603,0.569972987724251,0.271957891031351,0.833093702093446,0.727770442830359,0.505304895575681,0.641225476478653,0.294104168722071,0.312524883777776,0.915630957050122,0.542543239453111,1.30043568394669,1.24514074815997
0.303756218769938,1.32825868458461,1.0033858621436,0.476525218731559,0.926576914291718,1.0568698329149,1.13707004824225,0.588101541191657,0.265497224616812,0.848581356370148,0.704575388079037,0.548254805375579,0.662435517002993,0.308739172470213,0.300597429169873,0.863304158872177,0.509380021595671,1.27551607586769,1.18089640780864
0.335018300387736,1.33320927642497,0.95927373304606,0.469087622378457,0.877817075650904,0.99775397023394,1.10847459750196,0.555542277219617,0.272264845770503,0.791303391493431,0.681311189176791,0.53960910068866,0.665850671818427,0.303601620177604,0.279709453232126,0.887425992603748,0.51330959656707,1.23570576537862,1.18025003787472
