AVAL,AVAR,AVER,AVEL,AIBL,RIMR,RIML,VA12
1.54827275701106,1.30345193111571,0.378818093749313,0.259537398603017,0.462784623835107,1.00299819913112,0.594860017836033,0.157773813217024
1.65721337568504,1.32651451296069,0.402432350947251,0.415914772852433,0.41112808385499,0.9356903056603,0.776633593285545,0.186511071859352
1.60595586639354,1.28202406166291,0.400915077485908,0.397047746902895,0.412678589977426,0.967114996624485,0.746103996412876,0.196579282860677
1.58600715643601,1.3670453104277,0.405824521202891,0.39221590457125,0.417268871073487,0.963888906834206,0.743121058648967,0.1973807251903
1.52510199104761,1.25620287854247,0.388506705781844,0.385660734967382,0.430357296851721,0.901420890916474,0.712473063845542,0.183760377694724
1.55548877867644,1.26216271120714,0.397290250805131,0.378364123986095,0.434467154821749,0.899841774005049,0.75047116546942,0.201320877010549
1.5140511389976,1.20742010153283,0.41375166923864,0.365443884691691,0.438985489889245,0.870988776787529,0.716788039687678,0.178766320829178
1.40694699076639,1.21682905388313,0.411189602849491,0.309335232473793,0.41338287005628,0.819964129844357,0.661155478336731,0.186939295375188
1.39773977569646,1.13385592188349,0.392373741898946,0.328759615222128,0.417634873713989,0.763501334281469,0.694350458133709,0.187438074466095
1.31787789560392,1.09396423253017,0.359361870867666,0.310289062446723,0.395737738995357,0.715813531464933,0.672038828437891,0.200553119992662
1.26044063817386,1.01830997836901,0.352569085833092,0.292471340195723,0.400324159972573,0.630325295913536,0.655855013658086,0.185446167165687
1.18248975008812,0.966198360547528,0.326875168585231,0.265833873131475,0.392391794440845,0.599462817553249,0.616101356575771,0.189176119939453
1.0927166591303,0.867962447127387,0.306299172373713,0.264502345839567,0.384537309649379,0.515139747469567,0.577791063062877,0.154805403453641
1.00743593646842,0.819126909456987,0.276535029948433,0.222220736512918,0.357611078624176,0.420688085756152,0.558512924613606,0.191601349410332
0.91989975934565,0.749018504860001,0.264941802654484,0.193271081105045,0.344033738341657,0.408342043889245,0.534844681875135,0.180140422821113
0.840272515916391,0.71740454842486,0.252581739114846,0.185861605367944,0.32767629286692,0.340396703008098,0.497770974821949,0.187401701270239
