,,cons-3-collapsed,cons-4-collapsed,cons-5-collapsed,cons-6-collapsed,cons-7-collapsed,cons-8-collapsed,cons-9-collapsed
1,1,"(0.26285714285714284, 0.4245)","(0.19428571428571428, 0.1215)","(0.2, 0.171)","(0.19428571428571428, 0.1825)","(0.18857142857142858, 0.216)","(0.14857142857142858, 0.0535)","(0.15428571428571428, 0.109)"
1,2,"(0.26285714285714284, 0.2195)","(0.2057142857142857, 0.037)","(0.18857142857142858, 0.0225)","(0.21142857142857144, 0.065)","(0.2, 0.07)","(0.17142857142857143, 0.0205)","(0.1657142857142857, 0.0265)"
2,1,"(0.2, 0.2305)","(0.17714285714285713, 0.0975)","(0.18285714285714286, 0.1585)","(0.18285714285714286, 0.258)","(0.17142857142857143, 0.2505)","(0.16, 0.212)","(0.15428571428571428, 0.264)"
2,2,"(0.26285714285714284, 0.45)","(0.19428571428571428, 0.116)","(0.2, 0.1745)","(0.19428571428571428, 0.182)","(0.18857142857142858, 0.206)","(0.14857142857142858, 0.0575)","(0.1657142857142857, 0.201)"
