,,cons-3-uncollapsed,cons-4-uncollapsed,cons-5-uncollapsed,cons-6-uncollapsed,cons-7-uncollapsed,cons-8-uncollapsed,cons-9-uncollapsed,cons-10-uncollapsed,cons-11-uncollapsed,cons-12-uncollapsed,cons-13-uncollapsed,cons-14-uncollapsed
1,1,"(0.1917808219178082, 0.019)","(0.14246575342465753, 0.001)","(0.15616438356164383, 0.002)","(0.1506849315068493, 0.005)","(0.16164383561643836, 0.018)","(0.13972602739726028, 0.016)","(0.14246575342465753, 0.019)","(0.1232876712328767, 0.013)","(0.10136986301369863, 0.002)","(0.08493150684931507, 0.003)","(0.07945205479452055, 0.003)","(0.09041095890410959, 0.036)"
1,2,"(0.18904109589041096, 0.002)","(0.2136986301369863, 0.003)","(0.17534246575342466, 0.0)","(0.2136986301369863, 0.007)","(0.1726027397260274, 0.0)","(0.14794520547945206, 0.0)","(0.13972602739726028, 0.0)","(0.13150684931506848, 0.0)","(0.10410958904109589, 0.001)","(0.10684931506849316, 0.002)","(0.08767123287671233, 0.001)","(0.09315068493150686, 0.002)"
2,1,"(0.16164383561643836, 0.056)","(0.13972602739726028, 0.015)","(0.1506849315068493, 0.054)","(0.14520547945205478, 0.06)","(0.12602739726027398, 0.023)","(0.11506849315068493, 0.015)","(0.12054794520547946, 0.054)","(0.11506849315068493, 0.095)","(0.08767123287671233, 0.002)","(0.07671232876712329, 0.004)","(0.07671232876712329, 0.013)","(0.07671232876712329, 0.041)"
2,2,"(0.1917808219178082, 0.018)","(0.14246575342465753, 0.001)","(0.15616438356164383, 0.008)","(0.1506849315068493, 0.003)","(0.16164383561643836, 0.015)","(0.13972602739726028, 0.012)","(0.14246575342465753, 0.026)","(0.1232876712328767, 0.016)","(0.10136986301369863, 0.001)","(0.08493150684931507, 0.003)","(0.07945205479452055, 0.009)","(0.09041095890410959, 0.038)"
