,,cons-3-collapsed,cons-4-collapsed,cons-5-collapsed,cons-6-collapsed,cons-7-collapsed,cons-8-collapsed,cons-9-collapsed
1,1,"(0.26285714285714284, 0.4425)","(0.2057142857142857, 0.1895)","(0.2, 0.1845)","(0.2, 0.222)","(0.21142857142857144, 0.3775)","(0.15428571428571428, 0.0695)","(0.14857142857142858, 0.0875)"
1,2,"(0.25142857142857145, 0.1845)","(0.2057142857142857, 0.054)","(0.2, 0.029)","(0.22285714285714286, 0.0835)","(0.21142857142857144, 0.0915)","(0.1657142857142857, 0.0155)","(0.15428571428571428, 0.0175)"
2,1,"(0.22857142857142856, 0.4845)","(0.17142857142857143, 0.066)","(0.18857142857142858, 0.212)","(0.17142857142857143, 0.147)","(0.17714285714285713, 0.3025)","(0.22285714285714286, 0.814)","(0.14285714285714285, 0.1405)"
2,2,"(0.26285714285714284, 0.4445)","(0.2057142857142857, 0.158)","(0.2, 0.1865)","(0.2, 0.2365)","(0.21142857142857144, 0.374)","(0.15428571428571428, 0.071)","(0.14857142857142858, 0.0915)"
