,,cons-3-collapsed,cons-4-collapsed,cons-5-collapsed,cons-6-collapsed,cons-7-collapsed,cons-8-collapsed,cons-9-collapsed,cons-10-collapsed,cons-11-collapsed,cons-12-collapsed
1,1,"(0.26285714285714284, 0.461)","(0.2057142857142857, 0.185)","(0.2, 0.177)","(0.18857142857142858, 0.175)","(0.19428571428571428, 0.242)","(0.14857142857142858, 0.051)","(0.21714285714285714, 0.577)","(0.14285714285714285, 0.09)","(0.13714285714285715, 0.112)","(0.13142857142857142, 0.112)"
1,2,"(0.26285714285714284, 0.203)","(0.19428571428571428, 0.026)","(0.2, 0.035)","(0.22285714285714286, 0.085)","(0.19428571428571428, 0.055)","(0.1657142857142857, 0.023)","(0.1657142857142857, 0.021)","(0.15428571428571428, 0.02)","(0.14857142857142858, 0.015)","(0.22857142857142856, 0.366)"
2,1,"(0.21142857142857144, 0.368)","(0.17142857142857143, 0.077)","(0.18857142857142858, 0.197)","(0.17142857142857143, 0.152)","(0.17142857142857143, 0.253)","(0.16, 0.218)","(0.15428571428571428, 0.293)","(0.14285714285714285, 0.225)","(0.12571428571428572, 0.114)","(0.12, 0.119)"
2,2,"(0.26285714285714284, 0.422)","(0.2057142857142857, 0.161)","(0.2, 0.187)","(0.18857142857142858, 0.179)","(0.19428571428571428, 0.255)","(0.14857142857142858, 0.039)","(0.21714285714285714, 0.546)","(0.14285714285714285, 0.106)","(0.13142857142857142, 0.092)","(0.13142857142857142, 0.122)"
