,,cons-3-uncollapsed,cons-4-uncollapsed,cons-5-uncollapsed,cons-6-uncollapsed,cons-7-uncollapsed,cons-8-uncollapsed,cons-9-uncollapsed
1,1,"(0.19452054794520549, 0.0195)","(0.14794520547945206, 0.0005)","(0.1506849315068493, 0.005)","(0.1726027397260274, 0.0175)","(0.15342465753424658, 0.0185)","(0.12876712328767123, 0.0035)","(0.15616438356164383, 0.05)"
1,2,"(0.2054794520547945, 0.0)","(0.21095890410958903, 0.0025)","(0.18082191780821918, 0.0005)","(0.1863013698630137, 0.001)","(0.1589041095890411, 0.0)","(0.15616438356164383, 0.0005)","(0.15342465753424658, 0.001)"
2,1,"(0.1726027397260274, 0.1245)","(0.14794520547945206, 0.03)","(0.13972602739726028, 0.018)","(0.13972602739726028, 0.044)","(0.12876712328767123, 0.035)","(0.11232876712328767, 0.0085)","(0.1178082191780822, 0.05)"
2,2,"(0.19452054794520549, 0.0225)","(0.14794520547945206, 0.002)","(0.1506849315068493, 0.004)","(0.1726027397260274, 0.023)","(0.15342465753424658, 0.015)","(0.12876712328767123, 0.002)","(0.15616438356164383, 0.054)"
