AVAR,AVAL,AVEL,AVER,AIBR,AIBL,RIMR,RIML,DA01,VA02,AS02,DA02,VA03,AS03,VA04,VA05,VA06,VA12,VA11,DA07,AS09,DA06,VD07,DA05,VA07,annot
0.0886293915095212,0.0443052073427345,0.191547956192856,0.0242107535264641,0.0048689081967574,0.121139760694277,0.0589878526962844,0.0280562791504156,0.0955166411024916,0.154098609851391,0.238322674779555,0.278123087599962,0.320793405640686,0.144845333755251,0.315941295426258,0.281416255260782,0.260063578265427,0.129038310467407,0.316513056296534,0.34047382251772,0.187874503669065,0.0570673423285951,0.386480573643612,0.357975215745237,0.370876245960791,1
0.0828120666574398,0.0453029070621653,0.195378659635986,0.0129983541981536,0.0052145626827883,0.0968738931373638,0.0673032230387145,0.0181540629796807,0.100026719697065,0.127080067791272,0.229931436120648,0.261315693775783,0.325616778965523,0.151332383118051,0.3048221852841,0.270976869041116,0.25615579966478,0.116554140190147,0.300464510758371,0.301543060544994,0.184860169979675,0.0756773468500037,0.436142253574289,0.417814515804319,0.35533075621877,1
0.0883956968903673,0.0330831689832538,0.18544686635479,0.0160675157620453,0.0125998876465655,0.104646553839188,0.0580337452682129,0.0104713090541104,0.0625252001628428,0.135568590317554,0.211017616610532,0.239589460282203,0.323609251867357,0.148491354883319,0.312460912613034,0.274189012118879,0.279958091983885,0.105433627041782,0.293767488664869,0.322075771521332,0.174642040327908,0.0699683403344841,0.419207709782888,0.38795068601737,0.383039123841599,1
0.0772298915100768,0.0579620197845394,0.201090718848709,0.0267305412980671,0.0,0.0954710226692299,0.0714367232573173,0.0180971536913431,0.0941753775555079,0.139569059647524,0.232855472525275,0.266385056300708,0.325934354832391,0.15977765533191,0.32096367792324,0.291004941957401,0.262139781348572,0.119170265062201,0.279125634697279,0.33379862427338,0.176310882997484,0.0736697208626149,0.427933496706242,0.403971095641397,0.361488052514837,1
0.0802057124587786,0.0463169225446769,0.184216720499363,0.0179101343582468,0.0124754780859527,0.08747086945906,0.0734079653698819,0.0084225746739584,0.0756377320310204,0.121118459437771,0.21066357207762,0.256063067730272,0.319540871392818,0.137521538420099,0.294380469931213,0.274950371647563,0.248946427146961,0.104867439352091,0.258504107880593,0.316179843463624,0.194400401609633,0.0593032778409549,0.417869145060115,0.395374778282163,0.316496824952237,1
0.0852799755099114,0.0591159623451766,0.190288524993182,0.0220018048015801,0.0108809513614494,0.098618002368017,0.0780339289959812,0.0215117109915967,0.0769330791457297,0.13710041672513,0.238252809205617,0.260557650187461,0.323062784971607,0.163357378822468,0.329992471814928,0.307000897667762,0.26456055438525,0.108135791626487,0.304270694192751,0.332935380502176,0.188781947892533,0.067810297087019,0.427767628085244,0.406538826800649,0.355092107262558,1
0.0974223313339256,0.0585550112883094,0.185502453387443,0.0394586443771039,0.0067513355798517,0.108210603136609,0.0684752478327214,0.0104713090541104,0.0631660928124775,0.124772900514832,0.215649674683513,0.264055805726753,0.345006934189522,0.156098834320023,0.320732423741052,0.293522375978465,0.269558028468227,0.102888479144993,0.30492465653085,0.323717466795196,0.185104772192114,0.0688240454606255,0.430211981211072,0.404585118309914,0.333150431526936,1
0.0884114718315762,0.0534112513797106,0.189652738711646,0.0287011228351487,0.0120629507470971,0.100134619090324,0.0827680972405779,0.0215686202799341,0.0771614988657778,0.125331581673697,0.230564353366413,0.254579703733673,0.310674645836571,0.145271383309981,0.329913656321906,0.298995277855391,0.257389308883909,0.106534197682229,0.300124677529648,0.318951322619054,0.179693859891341,0.0648359646344427,0.431685299015857,0.397440127258083,0.351610251719531,1
0.0900586232352159,0.0477561677544271,0.184730540366319,0.0432388251966834,0.0043261090666842,0.106163170561495,0.0667279379062252,0.0102436719007603,0.0762970300016091,0.117595137401712,0.215680332994439,0.257226353895168,0.329010937055197,0.146409609065532,0.309855618232213,0.308705920734792,0.238943662676951,0.109390185054165,0.313894206029922,0.323569635860797,0.192183646261304,0.0668406995852316,0.425386179700363,0.383261785639606,0.338640360113126,1
0.086993209720485,0.054586763701351,0.203099634744899,0.0301688539417867,0.0013969478411567,0.115907433002318,0.0549191093767902,0.0145687778144147,0.0734938027502289,0.116802413483696,0.239106820039794,0.267312721138549,0.33162174999679,0.158726314374989,0.305053393710359,0.302880070731986,0.257518158397447,0.103327977259238,0.279869668758738,0.328888742582699,0.201418662447397,0.0691027328157428,0.450693024452354,0.411060266450635,0.335186818389416,1
0.0861401760143004,0.0556207774868934,0.194235259207867,0.0255486739175146,0.0092655811503512,0.121177676112335,0.0598717527735021,0.0283408255921035,0.0828816788780109,0.114733201724498,0.236321040825788,0.270663137334784,0.336714955606336,0.161632942377363,0.313985015572406,0.29471089727914,0.247965336972364,0.125114736316401,0.304014994988288,0.33761544590639,0.205081246658242,0.0706048522959893,0.428856997067615,0.39621208192105,0.355458282725215,1
