AVAR,RMDDL,AVAL,SAAVL,AIBL,AVEL,AIBR,RIML,RIMR,DA01,VA02,DA02,VA03,AS03,DA03,VA05,VA06,VA11,AS10,DA07,AS09,VA09,DA06,VA07,DA05,annot
0.934808380979928,1.21937991266629,1.17779023520371,0.733519825644635,0.422335820092515,0.2757120013645,1.08129694660275,0.878434224404234,0.800273014589468,0.159916577024146,0.696418725263456,0.467510624239723,0.17422977016491,0.153531122732656,0.362646648898857,0.379530883362573,0.599939113558286,0.196027569825275,0.220157368294028,0.355862779165706,0.244727215267444,0.182708510574335,0.1874590379938,0.44100804587743,0.249339722425779,3
0.929144386864798,1.17485022497712,1.1441423531314,0.68641282366587,0.411004064857958,0.256116754662749,1.01373996041099,0.839898347827588,0.781684403941498,0.111060911643759,0.662806795340957,0.456810223000848,0.144252810174211,0.125093469095759,0.36219994961045,0.392449198653203,0.569671143466689,0.191111883534148,0.208165343321255,0.334132771039888,0.206220336353823,0.180329426629445,0.202724707518437,0.449309885867309,0.215282064350961,3
0.911323738479863,1.19804515310099,1.13221706335439,0.657899667121167,0.399542059563235,0.261710905760221,0.958556280537166,0.815144586997148,0.78301745171705,0.11461325013103,0.634206718689652,0.435005960891794,0.155394164300225,0.148266368852592,0.359944615260848,0.355641999574712,0.541055941862263,0.163322128370761,0.196297376539272,0.338488707882484,0.212478739140336,0.190273250407345,0.187434942385958,0.441911772714675,0.243451713955093,3
0.896684208313185,1.1884523114292,1.12790687458581,0.682738267657117,0.402407560886916,0.249243201463286,0.955819274072597,0.806064604858472,0.746877045357651,0.11325876069326,0.661497180574191,0.440509531631382,0.159952374920827,0.147399569556934,0.367780186872154,0.360026966053384,0.569230347785743,0.19088274358749,0.198202014783416,0.364107079364841,0.217557243797542,0.181879216543692,0.195825445720228,0.43310639280333,0.210659670070791,3
0.907798182433557,1.15658269458813,1.09699257784652,0.721416592023697,0.402733186037334,0.246737862007844,0.93786608536919,0.765204685234427,0.735916430314227,0.117686408817118,0.640630310911538,0.437219096375682,0.176130300590535,0.160693954182467,0.364208711167874,0.349971013037718,0.581937114410204,0.196831011297318,0.203208575998002,0.36074825246377,0.239012686071282,0.177370630669328,0.179175788451052,0.42427735221803,0.219485991708661,3
0.926528532704686,1.17091041469413,1.05724277809482,0.70536964132853,0.380460425748723,0.218800135248745,0.922988387166767,0.722723340228475,0.723548709285499,0.108071345095552,0.632561553032848,0.416198776827953,0.149971509834222,0.126966997899305,0.349884184588861,0.360200965778752,0.564455147368716,0.184187983381863,0.214294924953936,0.351549972303926,0.248781065843308,0.194121576282087,0.186335447242561,0.465112685985421,0.223468989988455,3
0.895576387264257,1.12159625177803,1.04434112978662,0.67358121312979,0.382349051621149,0.199852835059312,0.919276074107269,0.749584954055394,0.70910735838369,0.124748506438326,0.634955881998072,0.395042148135585,0.159589097144542,0.139586114331822,0.35935091752,0.354144973994466,0.567698328721136,0.20426084438288,0.194982218323432,0.352804090653797,0.259789758308966,0.177457949353861,0.200664628639033,0.470274764570416,0.224346059455154,3
0.88771335559428,1.13039056865823,1.02943805730724,0.703913255372484,0.399021059322566,0.217758191963101,0.900414335064164,0.719750727028313,0.693703250755094,0.129369157159359,0.63362675184922,0.425921498423294,0.158748254943003,0.139601458662374,0.344839464970975,0.375520202592194,0.575389601855134,0.194365908095029,0.207681538422257,0.383362283547054,0.273453645367988,0.185673610289752,0.186835788699163,0.454840622895872,0.225798403590937,3
0.903604896687635,1.12570593596979,0.994032732980681,0.688711324481778,0.378702049936465,0.218411642039711,0.916887760109898,0.730181896985246,0.681705820775129,0.123956126498676,0.579571606578085,0.415356235242088,0.152210516460597,0.141671187269016,0.328393076029666,0.35065844061504,0.561619344595989,0.192100415083684,0.222490159939066,0.38087215713166,0.280637496432109,0.163430459503333,0.18922399406482,0.462932345188672,0.210408159235156,3
0.876010133075862,1.06653860341173,1.01764454545609,0.659775211966074,0.372710547168768,0.202461144139606,0.91590775075472,0.716075496162659,0.691037155203991,0.112902103376995,0.601886782849123,0.421398400439653,0.152146721658615,0.133853182502275,0.354219498149676,0.325989574387511,0.540117334724525,0.198136674433783,0.214840698594723,0.386391643317772,0.288859975995627,0.197755807949031,0.18781398481194,0.477227905421813,0.213165643998568,3
